Ball,Condition,Ball_Speed_mph,Carry_yd,Total_yd,Spin_rpm
"TaylorMade SpeedSoft",Driver Fast,165.64,275.48,311.14,1914
"TaylorMade SpeedSoft",Driver Mid,147.05,250.48,285.66,2291
"TaylorMade SpeedSoft",Wedge 35,43.12,36.56,42.98,4074
"TaylorMade SpeedSoft",Wedge Full (Dry),81.4,98.53,105.24,6311
"TaylorMade Tour Response",7 Iron Fast,124.46,186.14,196.89,5681
"TaylorMade Tour Response",7 Iron Mid,112.65,159.46,170,5516
"TaylorMade Tour Response",Driver Fast,167.24,285.94,319,2055
"TaylorMade Tour Response",Driver Mid,148.27,255.21,289.01,2492
"TaylorMade Tour Response",Wedge 35,43.24,35.85,42.19,5429
"TaylorMade Tour Response",Wedge Full (Dry),83.66,101.57,105.88,10179
"TaylorMade TP5",7 Iron Fast,124.07,183.94,193.51,6674
"TaylorMade TP5",7 Iron Mid,112.06,157.38,166.85,6283
"TaylorMade TP5",Driver Fast,169.52,289.17,319.65,2439
"TaylorMade TP5",Driver Mid,149.48,258.85,288.61,2853
"TaylorMade TP5",Wedge 35,42.91,35.32,41.62,5592
"TaylorMade TP5",Wedge Full (Dry),83.21,100.39,104.43,10748
"TaylorMade TP5X",7 Iron Fast,124.14,182.99,192.23,6324
"TaylorMade TP5X",7 Iron Mid,112.01,158.87,168.93,5966
"TaylorMade TP5X",Driver Fast,168.67,283.35,314.49,2285
"TaylorMade TP5X",Driver Mid,148.54,258.73,287.51,2807
"TaylorMade TP5X",Wedge 35,42.62,34.65,41,5852
"TaylorMade TP5X",Wedge Full (Dry),82.5,99.36,103.45,10519
"Titleist AVX",7 Iron Fast,123.92,183.94,193.44,6353
"Titleist AVX",7 Iron Mid,112.17,158.32,168.22,6056
"Titleist AVX",Driver Fast,168.52,275.69,308.37,2351
"Titleist AVX",Driver Mid,149.05,253.94,288.26,2798
"Titleist AVX",Wedge 35,43.08,35.23,41.88,5773
"Titleist AVX",Wedge Full (Dry),83.44,101.28,105.53,10554
"Titleist Pro V1",7 Iron Fast,123.73,183.09,192.98,6528
"Titleist Pro V1",7 Iron Mid,111.96,158.15,168.2,6141
"Titleist Pro V1",Driver Fast,169.77,286.25,318.23,2379
"Titleist Pro V1",Driver Mid,149.76,256.96,287.79,2804
"Titleist Pro V1",Wedge 35,42.42,34.56,40.94,5443
"Titleist Pro V1",Wedge Full (Dry),82.77,100.12,104.32,10632
"Titleist Pro V1x",7 Iron Fast,123.81,179.41,187.92,6899
"Titleist Pro V1x",7 Iron Mid,111.71,158.17,168.6,6500
"Titleist Pro V1x",Driver Fast,170.01,292.08,320.38,2438
"Titleist Pro V1x",Driver Mid,149.78,260.1,287.7,2943
"Titleist Pro V1x",Wedge 35,42.67,34.45,41.04,5967
"Titleist Pro V1x",Wedge Full (Dry),82.45,99.38,103.5,10782
"Titleist Pro V1x Left Dash",7 Iron Fast,123.83,181.76,190.62,6513
"Titleist Pro V1x Left Dash",7 Iron Mid,111.89,155.44,164.2,6263
"Titleist Pro V1x Left Dash",Driver Fast,170.35,290.72,326.42,2357
"Titleist Pro V1x Left Dash",Driver Mid,150.2,258.39,288.12,2759
"Titleist Pro V1x Left Dash",Wedge 35,42.22,34.58,40.92,4997
"Titleist Pro V1x Left Dash",Wedge Full (Dry),82.03,99.56,104.06,9889
"Titleist Tour Soft",7 Iron Fast,124.22,177.87,186.07,6700
"Titleist Tour Soft",7 Iron Mid,112.29,155.73,164.77,6444
"Titleist Tour Soft",Driver Fast,168.91,283.19,312.23,2260
"Titleist Tour Soft",Driver Mid,149.53,257.34,285.16,2667
"Titleist Tour Soft",Wedge 35,42.62,35.67,41.92,4231
"Titleist Tour Soft",Wedge Full (Dry),81.67,98.65,103.9,8210
"Titleist TruFeel",7 Iron Fast,124.17,179.49,187.31,6418
"Titleist TruFeel",7 Iron Mid,112.44,154.16,163.04,5841
"Titleist TruFeel",Driver Fast,167.22,278.06,310.1,2080
"Titleist TruFeel",Driver Mid,148.39,254.64,287.58,2421
"Titleist TruFeel",Wedge 35,43.04,36.3,42.69,4283
"Titleist TruFeel",Wedge Full (Dry),82.62,99.88,104.49,9154
"Titleist Velocity",7 Iron Fast,123.8,180.11,189.01,6384
"Titleist Velocity",7 Iron Mid,111.97,156.81,166.26,5985
"Titleist Velocity",Driver Fast,168.22,274.77,307.66,2039
"Titleist Velocity",Driver Mid,148.73,255.98,289.02,2368
"Titleist Velocity",Wedge 35,42.22,35.58,42.12,3085
"Titleist Velocity",Wedge Full (Dry),80.88,97.97,104.88,6176
